number,text
footnote 19,"Hiſt. Auguſt. p. 211. This laconic epiſtle is truly the work of a ſoldier; it abounds with military phraſes and words, ſome of which cannot be underſtood without difficulty.Ferramenta ſamiatais well explained by Salmaſius. The former of the words means all weapons of offence, [and is contraſted withArma,defenſive armour. The latter ſignifies keen and well ſharpened."
footnote 20,Zoſim. l. i. p. 45.
footnote 21,"Dexippus (ap. Excerpta Legat. p. 12.) relates the whole tranſaction under the name of Vandals. Aurelian married one of the Gothic ladies to his general Bonoſus, who was able to drink with the Goths and diſcover their ſecrets. Hiſt. Auguſt. p. 247."
footnote 22,"Hiſt. Auguſt. p. 222. Eutrop. ix. 15. Sextus Rufus, c. 9. Lactantius de mortibus Perſecutorum, c. 9."
footnote 23,"The Walachians ſtill preſerve many traces of the Latin language, and have boaſted, in every age, of their Roman deſcent. They are ſurrounded by, but not mixed with, the barbarians. See a Memoir of M. d'Anville on ancient Dacia, in the Academy of Inſcriptions, tom. xxx."
footnote 24,See the firſt chapter of Jornandes. The Vandals however (c. 22.) maintained a short independence between the rivers Mariſia and Criſſia (Maros and Keres) which fell into the Teiſs.
footnote 25,"Dexippus, p. 7—12. Zoſimus, l. 1. p. 43. Vopiſcus in Aurelian. in Hiſt. Auguſt. However theſe hiſtorians differ in names (Alemanni, Juthungi, and Marcomanni), it is evident that they mean the ſame people, and the ſame war; but it requires ſome care to conciliate and explain them."
footnote 26,"Cantoclarus, with his uſual accuracy, chuſes to tranſlate three hundred thouſand: his verſion is equally repugnant to ſenſe and to grammar."
footnote 27,"We may remark, as an inſtance of bad taſte, that Dexippus applies to the light infantry of the Alemanni the technical terms proper only to the Grecian phalanx."
footnote 28,"In Dexippus, we at preſent read Rhodanus; M. de Valois very judiciouſly alters the word to Eridanus."
footnote 29,"The emperor Claudius was certainly of the number; but we are ignorant how far this mark of reſpect was extended; if to Caeſar and Auguſtus, it muſt have produced a very awful ſpectacle; a long line of the maſters of the world."
footnote 30,Vopiſcus in Hiſt. Auguſt. p. 210.
footnote 31,"Dexippus gives them a ſubtle and prolix oration, worthy of a Grecian ſophiſt."
footnote 32,Hiſt. Auguſt. p. 215.
footnote 33,"Dexippus, p. 12."
footnote 34,"Victor Junior, in Aurelian."
footnote 35,Vopiſcus in Hiſt. Auguſt. p. 216.
footnote 36,"The little river or rather torrent of Metaurus near Fano, has been immortalized, by finding ſuch an hiſtorian as Livy, and ſuch a poet as Horace."
footnote 37,It is recorded by an inſcription found at Pezaro. See Gruter. cclxxvi. 3.
footnote 38,"One ſhould imagine, he ſaid, that you were aſſembled in a Chriſtian church, not in the temple of all the gods."
footnote 39,"Vopiſcus in Hiſt. Auguſt. p. 215, 216. gives a long account of theſe ceremonies, from the Regiſters of the ſenate."
footnote 40,"Plin. Hiſt. Natur. iii. 5. To confirm our idea, we may obſerve, that for a long time Mount Caelius was a grove of oaks, and Mount Viminal was over-run with oſiers; that, in the fourth century, the Aventine was a vacant and ſolitary eetirement; that, till the time of Auguſtus, the Eſquiline was an unwholeſome buryingground; and that the numerous inequalities, remarked by the ancients in the Quirinal, ſufficiently prove that it was not covered with buildings. Of the ſeven hills, the Capitoline and Palatine only, with the adjacent vallies, were the primitive habitation of the Roman people. But this ſubject would require a diſſertation."
footnote 41,"Exſpatiantia tecta multas addidere urbes, is the expreſſion of Pliny."
footnote 42,Hiſt. Auguſt. p. 222. Both Lipſius and Iſaac Voſſius have eagerly embraced this meaſure.
footnote 43,"See Nardini, Roma Antica, l. i. c. 8."
footnote 44,Tacit. Hiſt. iv. 23.
footnote 45,"For Aurelian's walls, ſee Vopiſcus in Hiſt. Auguſt. p. 216. 222. Zoſimus, l. i. p. 43. Eutropius, ix. 15. Aurel. Victor in Aurelian. Victor Junior in Aurelian. Euſeb. Hieronym. et Idatius in Chronic."
footnote 46,"His competitor was Lollianus, or Aelianus, if indeed theſe names mean the ſame perſon. See Tillemont, tom. iii. p. 1177."
footnote 47,"The character of this prince by Julius Aterianus (ap. Hiſt. Auguſt. p. 187.) is worth tranſcribing, as it ſeems fair and impartial. Victorino qui poſt Junium Poſthumium Gallias rexit neminem exiſtimo praeferendum; non in virtute Trajanum; non Antoninum in clementia; non in gravitate Nervam; non in gubernando aerario Veſpaſianum; non in Cenſura totius vitae ac ſeveritate militari Pertinacem vel Severum. Sed omnia haec libido et cupiditas voluptatis mulierariae ſic perdidit, ut nemo audeat virtutes ejus in literas mittere quem conſtat omnium judicio meruiſſe puniri."
footnote 48,"He raviſhed the wife of Attitianus, anactuary,or army agent. Hiſt. Auguſt. p. 186. Aurel. Victor in Aurelian."
footnote 49,Pollio aſſigns her an article among the thirty tyrants. Hiſt. Auguſt. p. 200.
footnote 50,"Pollio in Hiſt. Auguſt. p. 196. Vopiſcus in Hiſt. Auguſt. p. 220. The two Victors, in the lives of Gallienus and Aurelian. Eutrop. ix. 13. Euſeb. in Chron. Of all theſe writers, only the two laſt (but with ſtrong probability) place the fall of Tetricus before that of Zenobia. M. de Boze (in the Academy of Inſcriptions, tom. xxx.) does not wiſh, and Tillemont (tom. iii. p. 1189.) does not dare, to follow them. I have been fairer than the one, and bolder than the other."
footnote 51,"Victor Junior in Aurelian. Eumenius mentionsBatavicae;ſome critics, without any reaſon, would fain alter the word toBagaudicae."
footnote 52,Eumen. in Vet. Panegyr. iv. 8.
footnote 53,Vopiſcus in Hiſt. Auguſt. p. 246. Autun was not reſtored till the reign of Diocleſian. See Eumenius de reſtaurandis ſcholis.
footnote 54,"Almoſt every thing that is ſaid of the manners of Odenathus and Zenobia, is taken from their lives in the Auguſtan Hiſtory, by Trebellius Pollio, ſee p. 192. 198."
footnote 55,"She never admitted her huſband's embraces but for the ſake of poſterity. If her hopes were baffled, in the enſuingmonthſhe reiteterated the experiment."
footnote 56,"Hiſt. Auguſt. p. 192, 193. Zoſimus, l. i. p. 36. Zonaras, l. xii. p. 633. The laſt is clear and probable, the others confuſed and inconſiſtent. The text of Syncellus, if not corrupt, is abſolute nonſenſe."
footnote 57,"Odenathus and Zenobia often ſent him, from the ſpoils of the enemy, preſents of gems and toys, which he received with infinite delight."
footnote 58,"Some very unjuſt ſuſpicions have been caſt on Zenobia, as if ſhe was acceſſary to her huſband's death."
footnote 59,"Hiſt. Auguſt. p. 180, 181."
footnote 60,"See in Hiſt. Auguſt. p. 198. Aurelian's teſtimony to her merit; and for the conqueſt of Egypt, Zoſimus, l. i. p. 39, 40."
footnote 61,"Timolaus, Herennianus, and Vaballathus. It is ſuppoſed that the two former were already dead before the war. On the laſt, Aurelian beſtowed a ſmall province of Armenia with the title of King; ſeveral of his medals are ſtill extant. See Tillemont, tom. iii. p. 1190."
footnote 62,"Zoſimus, l. i. p. 44."
footnote 63,"Vopiſcus (in Hiſt. Auguſt. p. 217.) gives us an authentic letter, and a doubtful viſion of Aurelian. Apollonius of Tyana was born about the ſame time as Jeſus Chriſt. His life (that of the former) is related in ſo fabulous a manner by his diſciples, that we are at a loſs to diſcover whether he was a ſage, an impoſtor, or a fanatic."
footnote 64,"Zoſimus, l. i. p. 46."
footnote 65,"At a place called Immae. Eutropius, Sextus Rufus, and Jerome, mention only this firſt battle."
footnote 66,Vopiſcus in Hiſt. Auguſt. p. 217. mentions only the ſecond.
footnote 67,"Zoſimus, l. i. p. 44—48. His account of the two battles is clear and circumſtantial."
footnote 68,"It was five hundred and thirty-ſeven miles from Seleucia, and two hundred and three from the neareſt coaſt of Syria, according to the reckoning of Pliny, who, in a few words (Hiſt. Natur. v. 21.), gives an excellent deſcription of Palmyra."
footnote 69,"Some Engliſh travellers from Aleppodiſcoveredthe ruins of Palmyra, about the end of the laſt century. Our curioſity has ſince been gratified in a more ſplendid manner by Meſſieurs Wood and Dawkins. For the hiſtory of Palmyra, we may conſult the maſterly diſſertation of Dr. Halley in the Philoſophical Tranſactions; Lowthorp's Abridgment, vol. iii. p. 518."
footnote 70,Vopiſcus in Hiſt. Auguſt. p. 218.
footnote 71,From a very doubtful chronology I have endeavoured to extract the moſt probable date.
footnote 72,"Hiſt. Auguſt. p. 218. Zoſimus, l. i. p. 50. Though the camel is a heavy beaſt of burden, the dromedary, who is either of the ſame or of a kindred ſpecies, is uſed by the natives of Aſia and Africa on all occaſions which require celerity. The Arabs affirm, that he will run over as much ground in one day, as their fleeteſt horſes can perform in eight or ten. See Buffon Hiſt. Naturelle, tom. xi. p. 222, and Shaw's Travels, p. 167."
footnote 73,Pollio in Hiſt. p. 199.
footnote 74,"Vopiſcus in Hiſt. Auguſt. p. 219. Zoſimus, l. i. p. 51."
footnote 75,Hiſt. Auguſt. p. 219.
footnote 76,"See Vopiſcus in Hiſt. Auguſt. p. 220. 242. As an inſtance of luxury, it is obſerved, that he had glaſs windows. He was remarkable for his ſtrength and appetite, his courage and dexterity. From the letter of Aurelian, we may juſtly infer, that Firmus was the laſt of the rebels, and conſequently that Tetricus was already ſuppreſſed."
footnote 77,"See the triumph of Aurelian, deſcribed by Vopiſcus. He relates the particulars with his uſual minuteneſs; and, on this occaſion, theyhappento be intereſting. Hiſt. Auguſt. 220."
footnote 78,"Among barbarous nations, women have often combated by the ſide of their huſbands. But it isalmoſtimpoſſible, that a ſociety of Amazons ſhould ever have exiſted either in the old or new world."
footnote 79,"The uſe ofBraccae,breeches, or trowſers, was ſtill conſidered in Italy as a Gallic and Barbarian faſhion. The Romans, however, had made great advances towards it. To encircle the legs and thighs withfaſciae,or bands, was underſtood, in the time of Pompey and Horace, to be a proof of ill health or effeminacy. In the age of Trajan, the cuſtom was confined to the rich and luxurious. It gradually was adopted by the meaneſt of the people. See a very curious note of Caſaubon, ad Sueton, in Auguſt. c. 82."
footnote 80,"Moſt probably the former; the latter, ſeen on the medals of Aurelian, only denote (according to the learned Cardinal Noris) an oriental victory."
footnote 81,"The expreſſion of Calphurnius (Eclog. i. 50.), Nullos ducetcaptivatriumphos, as applied to Rome, contains a very manifeſt alluſion and cenſure."
footnote 82,"Vopiſcus in Hiſt. Auguſt. p. 199. Hieronym. in Chron. Proſper in Chron. Baronius ſuppoſes that Zenobius, biſhop of Florence in the time of St. Ambroſe, was of her family."
footnote 83,"Vopiſc. in Hiſt. Auguſt. p. 222. Eutropius, ix. 13. Victor Junior. But Pollio in Hiſt. Auguſt. p. 196, ſays, that Tetricus was made corrector of all Italy."
footnote 84,Hiſt. Auguſt. p. 197.
footnote 85,"Vopiſcus in Hiſt. Auguſt. 222. Zoſimus, l. i. p. 56. He placed in it the images of Belus and of the Sun, which he had brought from Palmyra. It was dedicated in the fourth year of his reign (Euſeb. in Chron.), but was moſt aſſuredly begun immediately on his acceſſion."
footnote 86,"See in the Auguſtan Hiſtory, p. 210, the omens of his fortune. His devotion to the Sun appears in his letters, on his medals, and is mentioned in the Caeſars of Julian. Commentaire de Spanheim, p. 109."
footnote 87,Vopiſcus in Hiſt. Auguſt. p. 221.
footnote 88,"Hiſt. Auguſt. p. 222. Aurelian calls thoſe ſoldiersHiberi Riparienſes, Caſtriani,andDaciſci."
footnote 89,"Zoſimus, l. i. p. 56. Eutropius, ix. 14. Aurel. Victor."
footnote 90,Hiſt. Auguſt. p. 222. Aurel. Victor.
footnote 91,"It already raged before Aurelian's return from Egypt. See Vopiſcus, who quotes an original letter. Hiſt. Auguſt. p. 244."
footnote 92,"Vopiſcus in Hiſt. Auguſt. p. 222. The two Victors. Eutropius, ix. 14. Zoſimus (l. i. p. 43.) mentions only three ſenators, and places their death before the eaſtern war."
footnote 93,Nulla catenati feralis pompa ſenatûsCarnificum laſſabit opus; nec carcere plenoInfelix raros numerab•t curia Patres.Calphurn. Eclog. i. 60.
footnote 94,"According to the younger Victor, he ſometimes wore the diadem.DeusandDominusappear on his medals."
footnote 95,It was the obſervation of Diocletian. See Vopiſcus in Hiſt. Auguſt. p. 224.
footnote 96,"Vopiſcus in Hiſt. Auguſt. p. 221. Zoſimus, l. i. p. 57. Eutrop. ix. 15. The two Victors."
footnote 97,Vopiſcus in Hiſt. Auguſt. p. 222. Aurelius Victor mentions a formal deputation from the troops to the ſenate.
footnote 98,"Vopiſcus, our principal authority, wrote at Rome, ſixteen years only after the death of Aurelian; and, beſides the recent notoriety of the facts, conſtantly draws his materials from the Journals of the Senate, and the original papers of the Ulpian library. Zoſimus and Zonaras appear as ignorant of this tranſaction as they were in general of the Roman conſtitution."
footnote 99,"Liv. i. 17. Dionyſ. Halicarn. l. ii. p. 115. Plutarch in Numa, p. 60. The firſt of theſe writers relates the ſtory like an orator, the ſecond like a lawyer, and the third like a moraliſt, and none of them probably without ſome intermixture of fable."
footnote 100,"Vopiſcus (in Hiſt. Auguſt. p. 227.) calls himprimae ſententiae conſularis;and ſoon afterwardsPrinceps ſenatûs.It is natural to ſuppoſe, that the monarchs of Rome, diſdaining that humble title, reſigned it to the moſt ancient of the ſenators."
footnote 101,"The only objection to this genealogy, is, that the hiſtorian was named Cornelius, the emperor, Claudius. But under the lower empire, ſurnames were extremely various and uncertain."
footnote 102,"Zonaras, l. xii. p. 637. The Alexandrian Chronicle, by an obvious miſtake, transfers that age to Aurelian."
footnote 103,"In the year 273, he was ordinary conſul. But he muſt have been Suffectus many years before, and moſt probably under Valerian."
footnote 104,"Bis millies octingenties.Vopiſcus in Hiſt. Auguſt. p. 229. This ſum, according to the old ſtandard, was equivalent to eight hundred and forty thouſand Roman pounds of ſilver, each of the value of three pounds ſterling. But in the age of Tacitus, the coin had loſt much of its weight and purity."
footnote 105,"After his acceſſion, he gave orders that ten copies of the hiſtorian ſhould be annually tranſcribed and placed in the public libraries. The Roman libraries have long ſince periſhed, and the moſt valuable part of Tacitus was preſerved in a ſingle MS. and diſcovered in a monaſtery of Weſtphalia. See Bayle, Dictionnaire, Art.Tacite,and Lipſius ad Annal. ii. 9."
footnote 106,Vopiſcus in Hiſt. Auguſt. p. 227.
footnote 107,"Hiſt. Auguſt. p. 228. Tacitus addreſſed the Praetorians by the appellation ofſanctiſſimi milites,and the people by that ofſacratiſſimi Quirites."
footnote 108,"In his manumiſſions he never exceeded the number of an hundred, as limited by the Caninian law, which was enacted under Auguſtus, and at length repealed by Juſtinian. See Caſaubon ad locum Vopiſci."
footnote 109,"See the lives of Tacitus, Florianus, and Probus, in the Auguſtan Hiſtory; we may be well aſſured, that whatever the ſoldier gave, the ſenator had already given."
footnote 110,Vopiſcus in Hiſt. Auguſt. p. 216. The paſſage is perfectly clear; yet both Caſaubon and Salmaſius wiſh to correct it.
footnote 111,"Vopiſcus in Hiſt. Auguſt. p. 230. 232, 233. The ſenators celebrated the happy reſtoration with hecatombs and public rejoicings."
footnote 112,Hiſt. Auguſt. p. 228.
footnote 113,"Vopiſcus in Hiſt. Auguſt. p. 230. Zoſimus, l. i. p. 57. Zonaras, l. xii. p. 637. Two paſſages in the life of Probus (p. 236. 238.) convince me, that theſe Scythian invaders of Pontus were Alani. If we may believe Zoſimus (l. i. p. 58.), Florianus purſued them as far as the Cimmerian Boſphorus. But he had ſcarcely time for ſo long and difficult an expedition."
footnote 114,"Eutropius and Aurelius Victor only ſay that he died; Victor Junior adds, that it was of a fever. Zoſimus and Zonaras affirm, that he was killed by the ſoldiers. Vopiſcus mentions both accounts, and ſeems to heſitate. Yet ſurely theſe jarring opinions are eaſily reconciled."
footnote 115,"According to the two Victors, he reigned exactly two hundred days."
footnote 116,"Hiſt. Auguſt. p. 231. Zoſimus, l. i. p. 58, 59. Zonaras, l. xii. p. 637. Aurelius Victor ſays, that Probus aſſumed the empire in Illyricum; an opinion which (though adopted by a very learned man) would throw that period of hiſtory into inextricable confuſion."
footnote 117,Hiſt. Auguſt. p. 229.
footnote 118,"He was to ſend judges to the Parthians, Perſians, and Sarmatians, a preſident to Taprobana, and a proconſul to the Roman iſland (ſuppoſed by Caſaubon and Salmaſius to mean Britain). Such a hiſtory as mine (ſays Vopiſcus with proper modeſty) will not ſubſiſt a thouſand years to expoſe or juſtify the prediction."
footnote 119,"For the private life of Probus, ſee Vopiſcus in Hiſt. Auguſt. p. 234-237."
footnote 120,"According to the Alexandrian Chronicle, he was fifty at the time of his death."
footnote 121,"The letter was addreſſed to the Praetorian praefect, whom (on condition of his good behaviour) he promiſed to continue in his great office. See Hiſt. Auguſt. p. 237."
footnote 122,Vopiſcus in Hiſt. Auguſt. p. 237. The date of the letter is aſſuredly faulty. Inſtead ofNon. Februar.we may readNon. Auguſt.
footnote 123,"Hiſt. Auguſt. p. 238. It is odd, that the ſenate ſhould treat Probus leſs favourably than Marcus Antoninus. That prince had received, even before the death of Pius,Jus quintae relationis.See Capitolin. in Hiſt. Auguſt. p. 24."
footnote 124,"See the dutiful letter of Probus to the ſenate, after his German victories. Hiſt. Auguſt. p. 239."
footnote 125,"The date and duration of the reign of Probus are very correctly aſcertained by Cardinal Noris, in his learned work, De Epochis Syro-Macedonum, p. 96—105. A paſſage of Euſebius connects the ſecond year of Probus, with the aeras of ſeveral of the Syrian cities."
footnote 126,Vopiſcus in Hiſt. Auguſt. p. 239.
footnote 127,Zoſimus (l. i. p. 62—65.) tells a very long and trifling ſtory of Lycius the Iſaurian robber.
footnote 128,"Zoſim. l. i. p. 65. Vopiſcus in Hiſt. Auguſt. p. 239, 240. But it ſeems incredible, that the defeat of the Savages of Aethiopia could affect the Perſian monarch."
footnote 129,"Beſides theſe well-known chiefs, ſeveral others are named by Vopiſcus (Hiſt. Auguſt. p. 241.), whoſe actions have not reached our knowledge."
footnote 130,"See the Caeſars of Julian, and Hiſt. Auguſt. p. 238. 240, 241."
footnote 131,"Zoſimus, l. i. p. 62. Hiſt. Auguſt. p. 240. But the latter ſuppoſe the puniſhment inflicted with the conſent of their kings; if ſo, it was partial, like the offence."
footnote 132,"See Cluver. Germania Antiqua, l. iii. Ptolemy places in their country the city of Caliſia, probably Caliſh in Sileſia."
footnote 133,"Feralis umbra,is the expreſſion of Tacitus: it is ſurely a very bold one"
footnote 134,Tacit. Germ. (c. 43.)
footnote 135,Vopiſcus in Hiſt. Auguſt. p. 238.
footnote 136,"Hiſt. Auguſt. p. 238, 239. Vopiſcus quotes a letter from the emperor to the ſenate, in which he mentions his deſign of reducing Germany into a province."
footnote 137,"Strabo, l. vii. According to Velleius Paterculus (ii. 108.), Maroboduus led his Marcomanni into Bohemia: Cluverius (German. Antiq. iii. 8.) proves that it was from Swabia."
footnote 138,"Theſe ſettlers from the payment of tythes were denominated,Decumates.Tacif. Germania, c. 29."
footnote 139,"See Notes de l'Abbe de la Bleterie à la Germanie de Tacite, p. 183. His account of the wall is chiefly borrowed (as he ſays himſelf) from theAlſatia Illuſtrataof Schoepflin."
footnote 140,"See Recherches ſur les Chinois et les Egyptiens, tom. ii. p. 81—102. The anonymous author is well acquainted with the globe in general, and with Germany in particular: with regard to the latter, he quotes a work of M. Hanſelman; but he ſeems to confound the wall of Probus, deſigned againſt the Alemanni, with the fortification of the Mattiaci, conſtructed in the neighbourhood of Francfort againſt the Catti."
footnote 141,"He diſtributed about fifty or ſixty Barbarians to aNumerus,as it was then called, a corps with whoſe eſtabliſhed number we are not exactly acquainted."
footnote 142,"Camden's Britannia, Introduction, p. 136.; but he ſpeaks from a very doubtful conjecture."
footnote 143,"Zoſimus, l. i. p. 62. According to Vopiſcus, another body of Vandals was leſs faithful."
footnote 144,Hiſt. Auguſt. p. 240. They were probably expelled by the Goths. Zoſim. l. i. p. 66.
footnote 145,Hiſt. Auguſt. p. 240.
footnote 146,"Panegyr. Vet. v. 18. Zoſimus, l. i. p. 66."
footnote 147,"Vopiſcus in Hiſt. Auguſt. p. 245, 246. The unfortunate orator had ſtudied rhetoric at Carthage, and was therefore more probably a Moor (Zoſim. l. i. p. 60.) than a Gaul, as Vopiſcus calls him."
footnote 148,"Zonaras, l. xii. p. 638."
footnote 149,"A very ſurpriſing inſtance is recorded of the proweſs of Proculus. He had taken one hundred Sarmatian virgins. The reſt of the ſtory he muſt relate in his own language; Ex his unâ nocte decem inivi: omnes tamen, quod in me erat, mulieres intra dies quindecim reddidi. Vopiſcus in Hiſt. Auguſt. p. 246."
footnote 150,"Proculus, who was a native of Albengue on the Genoeſe coaſt, armed two thouſand of his own ſlaves. His riches were great, but they were acquired by robbery. It was afterwards a ſaying of his family, Nec latrones eſſe, nec principes ſibi placere. Vopiſcus in Hiſt. Auguſt. p. 247."
footnote 151,Hiſt. Auguſt. p. 240.
footnote 152,Zoſim. l. i. p. 66.
footnote 153,Hiſt. Auguſt. p. 236.
footnote 154,"Aurel. Victor in Prob. But the policy of Hannibal, unnoticed by any more ancient writer, is irreconcileable with the hiſtory of his life. He left Africa when he was nine years old, returned to it when he was forty-five, and immediately loſt his army in the deciſive battle of Zama. Livius, xxx. 37."
footnote 155,"Hiſt. Auguſt. p. 240. Eutrop. ix. 17. Aurel. Victor in Prob. Victor Junior. He revoked the prohibition of Domitian, and granted a general permiſſion of planting vines to the Gauls, the Britons, and the Pannonians."
footnote 156,"Julian beſtows a ſevere, and indeed exceſſive, cenſure on the rigour of Probus, who, as he thinks, almoſt deſerved his fate."
footnote 157,Vopiſcus in Hiſt. Auguſt. p. 241. He laviſhes on this idle hope a large ſtock of very fooliſh eloquence.
footnote 158,"Turris ferrata. It ſeems to have been a moveable tower, and caſed with iron."
footnote 159,"Probus, et vere probus ſitus eſt: Victor omnium gentium Barbararum: victor etiam tyrannorum."
footnote 160,"Yet all this may be conciliated. He was born at Narbonne in Illyricum, confounded by Eutropius with the more famous city of that name in Gaul. His father might be an African, and his mother a noble Roman. Carus himſelf was educated in the capital. See Scaliger, Animadverſion. ad Euſeb. Chron. p. 241."
footnote 161,"Probus had requeſted of the ſenate an equeſtrian ſtatue and a marble palace, at the public expence, as a juſt recompence of the ſingular merit of Carus. Vopiſcus in Hiſt. Auguſt. p. 249."
footnote 162,Vopiſcus in Hiſt. Auguſt. p. 242. 249. Julian excludes the emperor Carus and both his ſons from the banquet of the Caeſars.
footnote 163,"John Malela, tom. i. p. 401. But the authority of that ignorant Greek is very ſlight. He ridiculouſly derives from Carus, the city of Carrhae, and the province of Caria, the latter of which is mentioned by Homer."
footnote 164,"Hiſt. Auguſt. p. 249. Carus congratulated the ſenate, that one of their own order was made emperor."
footnote 165,Hiſt. Auguſt. p. 242.
footnote 166,"See the firſt eclogue of Calphurnius. The deſign of it is preferred by Fontenelle, to that of Virgil's Pollio. See tom. iii. p. 148."
footnote 167,"Hiſt. Auguſt. p. 353. Eutropius, ix. 18. Pagi Annal."
footnote 168,"Agathias, l. iv. p. 135. We find one of his ſayings in the Bibliothéque Orientale of M. d'Herbelot.The definition of humanity includes all other virtues."
footnote 169,"Syneſius tells this ſtory of Carinus; and it is much more natural to underſtand it of Carus, than (as Petavius and Tillemont chuſe to do) of Probus."
footnote 170,"Vopiſcus in Hiſt. Auguſt. p. 250. Eutropius, ix. 18. The two Victors."
footnote 171,"To the Perſian victory of Carus, I refer the dialogue of thePhilopatris,which has ſo long been an object of diſpute among the learned. But to explain and juſtify my opinion, would require a diſſertation."
footnote 172,"Hiſt. Auguſt. p. 250. Yet Eutropius, Feſtus, Rufus, the two Victors, Jerome, Sidonius Apollinaris, Syncellus, and Zonaras, all aſcribe the death of Carus to lightning."
footnote 173,"See Nemeſian. Cynegeticon, v. 71, &c."
footnote 174,"See Feſtus and his commentators, on the wordScribonianum. Placesſtruck with lightning, were ſurrounded with a wall:thingswere buried with myſterious ceremony."
footnote 175,"Vopiſcus in Hiſt. Auguſt. p. 250. Aurelius Victor ſeems to believe the prediction, and to approve the retreat."
footnote 176,"Nemeſian. Cynegeticon, v. 69. He was a contemporary, but a poet."
footnote 177,"Cancellarius.This word, ſo humble in its original, has by a ſingular fortune roſe into the title of the firſt great office of ſtate in the monarchies of Europe. See Caſaubon and Salmaſius, ad Hiſt. Auguſt. p. 253."
footnote 178,"Vopiſcus in Hiſt. Auguſt. p. 253, 254. Eutropius, ix. 19. Victor Junior. The reign of Diocletian indeed was ſo long and proſperous, that it muſt have been very unfavourable to the reputation of Carinus."
footnote 179,"Vopiſcus in Hiſt. Auguſt. p. 254. He calls him Carus, but the ſenſe is ſufficiently obvious, and the words were often confounded."
footnote 180,"See Calphurnius, Eclog. vii. 43. We may obſerve, that the ſpectacles of Probus were ſtill recent, and that the poet is ſeconded by the hiſtorian."
footnote 181,"The philoſopher Montaigne (Eſſais, l. iii. 6.) gives a very juſt and lively view of Roman magnificence in theſe ſpectacles."
footnote 182,Vopiſcus in Hiſt. Auguſt. p. 240.
