genre,title,text,nouns,adjectives,verbs
tragedy,hamlet,"KING.
Though yet of Hamlet our dear brother’s death
The memory be green, and that it us befitted
To bear our hearts in grief, and our whole kingdom
To be contracted in one brow of woe;
Yet so far hath discretion fought with nature
That we with wisest sorrow think on him,
Together with remembrance of ourselves.
Therefore our sometime sister, now our queen,
Th’imperial jointress to this warlike state,
Have we, as ’twere with a defeated joy,
With one auspicious and one dropping eye,
With mirth in funeral, and with dirge in marriage,
In equal scale weighing delight and dole,
Taken to wife; nor have we herein barr’d
Your better wisdoms, which have freely gone
With this affair along. For all, our thanks.
Now follows, that you know young Fortinbras,
Holding a weak supposal of our worth,
Or thinking by our late dear brother’s death
Our state to be disjoint and out of frame,
Colleagued with this dream of his advantage,
He hath not fail’d to pester us with message,
Importing the surrender of those lands
Lost by his father, with all bonds of law,
To our most valiant brother. So much for him.
Now for ourself and for this time of meeting:
Thus much the business is: we have here writ
To Norway, uncle of young Fortinbras,
Who, impotent and bed-rid, scarcely hears
Of this his nephew’s purpose, to suppress
His further gait herein; in that the levies,
The lists, and full proportions are all made
Out of his subject: and we here dispatch
You, good Cornelius, and you, Voltemand,
For bearers of this greeting to old Norway,
Giving to you no further personal power
To business with the King, more than the scope
Of these dilated articles allow.
Farewell; and let your haste commend your duty.",king brother death memory heart grief kingdom brow woe discretion nature sorrow think remembrance sister queen jointress state joy dropping eye funeral dirge marriage scale delight wife wisdom affair thank supposal worth brother death state frame dream advantage message surrender land father bond law brother time meeting business uncle impotent bed nephew purpose gait herein levy list proportion subject bearer greeting power business scope article haste duty,dear green whole wise sometime th’imperial warlike auspicious equal well young weak late dear disjoint fail’d most valiant much much young further full good old further personal more,befit bear contract hath fight twere defeat weigh take herein go follow know hold think colleague hath pester import lose writ rid hear suppress make dispatch give dilate allow let commend
tragedy,hamlet,"And now, Laertes, what’s the news with you?
You told us of some suit. What is’t, Laertes?
You cannot speak of reason to the Dane,
And lose your voice. What wouldst thou beg, Laertes,
That shall not be my offer, not thy asking?
The head is not more native to the heart,
The hand more instrumental to the mouth,
Than is the throne of Denmark to thy father.
What wouldst thou have, Laertes?",news suit reason voice beg offer head heart hand mouth throne father thou laerte,native instrumental wouldst,’ tell speak lose ask
tragedy,hamlet,"LAERTES.
Dread my lord,
Your leave and favour to return to France,
From whence though willingly I came to Denmark
To show my duty in your coronation;
Yet now I must confess, that duty done,
My thoughts and wishes bend again toward France,
And bow them to your gracious leave and pardon.",laertes leave favour whence duty coronation duty thought wish leave,gracious,return come show confess do bend bow
tragedy,hamlet,"POLONIUS.
He hath, my lord, wrung from me my slow leave
By laboursome petition; and at last
Upon his will I seal’d my hard consent.
I do beseech you give him leave to go.",leave petition will consent beseech,slow laboursome last hard,hath wring seal’d give leave go
tragedy,hamlet,"KING.
Take thy fair hour, Laertes; time be thine,
And thy best graces spend it at thy will!
But now, my cousin Hamlet, and my son—",king hour laerte time thine grace will cousin son,fair good,take spend
tragedy,hamlet,"QUEEN.
Good Hamlet, cast thy nighted colour off,
And let thine eye look like a friend on Denmark.
Do not for ever with thy vailed lids
Seek for thy noble father in the dust.
Thou know’st ’tis common, all that lives must die,
Passing through nature to eternity.",colour thine eye friend lid father dust nature eternity,nighted noble common,queen cast let look vaile live die pass
tragedy,hamlet,"HAMLET.
Seems, madam! Nay, it is; I know not seems.
’Tis not alone my inky cloak, good mother,
Nor customary suits of solemn black,
Nor windy suspiration of forc’d breath,
No, nor the fruitful river in the eye,
Nor the dejected haviour of the visage,
Together with all forms, moods, shows of grief,
That can denote me truly. These indeed seem,
For they are actions that a man might play;
But I have that within which passeth show;
These but the trappings and the suits of woe.",cloak mother suit suspiration breath no river eye haviour visage form mood show grief action man passeth trapping suit woe,inky good customary solemn black windy forc’d fruitful dejected,seem know seem tis denote seem play show
tragedy,hamlet,"KING.
’Tis sweet and commendable in your nature, Hamlet,
To give these mourning duties to your father;
But you must know, your father lost a father,
That father lost, lost his, and the survivor bound
In filial obligation, for some term
To do obsequious sorrow. But to persevere
In obstinate condolement is a course
Of impious stubbornness. ’Tis unmanly grief,
It shows a will most incorrect to heaven,
A heart unfortified, a mind impatient,
An understanding simple and unschool’d;
For what we know must be, and is as common
As any the most vulgar thing to sense,
Why should we in our peevish opposition
Take it to heart? Fie, ’tis a fault to heaven,
A fault against the dead, a fault to nature,
To reason most absurd, whose common theme
Is death of fathers, and who still hath cried,
From the first corse till he that died today,
‘This must be so.’ We pray you throw to earth
This unprevailing woe, and think of us
As of a father; for let the world take note
You are the most immediate to our throne,
And with no less nobility of love
Than that which dearest father bears his son
Do I impart toward you. For your intent
In going back to school in Wittenberg,
It is most retrograde to our desire:
And we beseech you bend you to remain
Here in the cheer and comfort of our eye,
Our chiefest courtier, cousin, and our son.",king nature mourning duty father father father father survivor obligation term sorrow obstinate condolement course stubbornness grief heart mind impatient understanding thing peevish opposition heart fault fault fault nature theme death father corse today earth woe father world note throne nobility love son intent school desire cheer comfort eye chiefest courtier cousin son,sweet commendable filial obsequious impious incorrect unfortified simple unschool’d common vulgar dead absurd common first immediate less,ti give know lose lose lose bind persevere ti show know sense take tis reason hath cry die pray throw unprevaile think let take dearest bear impart go retrograde beseech bend remain
tragedy,hamlet,"HAMLET.
I shall in all my best obey you, madam.",madam,good,obey
tragedy,hamlet,"KING.
Why, ’tis a loving and a fair reply.
Be as ourself in Denmark. Madam, come;
This gentle and unforc’d accord of Hamlet
Sits smiling to my heart; in grace whereof,
No jocund health that Denmark drinks today
But the great cannon to the clouds shall tell,
And the King’s rouse the heaven shall bruit again,
Re-speaking earthly thunder. Come away.",king loving reply accord heart grace health today cannon cloud rouse thunder,fair gentle unforc’d jocund great earthly,tis come sit smile whereof drink tell bruit Re - speak come
tragedy,hamlet,"HAMLET.
O that this too too solid flesh would melt,
Thaw, and resolve itself into a dew!
Or that the Everlasting had not fix’d
His canon ’gainst self-slaughter. O God! O God!
How weary, stale, flat, and unprofitable
Seem to me all the uses of this world!
Fie on’t! Oh fie! ’tis an unweeded garden
That grows to seed; things rank and gross in nature
Possess it merely. That it should come to this!
But two months dead—nay, not so much, not two:
So excellent a king; that was to this
Hyperion to a satyr; so loving to my mother,
That he might not beteem the winds of heaven
Visit her face too roughly. Heaven and earth!
Must I remember? Why, she would hang on him
As if increase of appetite had grown
By what it fed on; and yet, within a month—
Let me not think on’t—Frailty, thy name is woman!
A little month, or ere those shoes were old
With which she followed my poor father’s body
Like Niobe, all tears.—Why she, even she—
O God! A beast that wants discourse of reason
Would have mourn’d longer,—married with mine uncle,
My father’s brother; but no more like my father
Than I to Hercules. Within a month,
Ere yet the salt of most unrighteous tears
Had left the flushing in her galled eyes,
She married. O most wicked speed, to post
With such dexterity to incestuous sheets!
It is not, nor it cannot come to good.
But break, my heart, for I must hold my tongue.",flesh dew canon self slaughter use world on’t fie garden thing nature month king satyr mother wind face earth increase appetite month on’t name woman month shoe father body tears.—why beast discourse reason mine uncle father brother father month salt tear eye speed dexterity sheet good heart tongue,solid weary stale flat unprofitable unweeded gross dead much excellent little old poor unrighteous wicked such incestuous,"melt resolve seem tis grow seed rank possess come love beteem visit remember hang grow feed let think follow want longer,—marrie leave flush gall marry post come break hold"
tragedy,hamlet,"HAMLET.
Sir, my good friend;
I’ll change that name with you:
And what make you from Wittenberg, Horatio?—
Marcellus?",friend name,good,change make
tragedy,hamlet,"HAMLET.
I am very glad to see you.—Good even, sir.—
But what, in faith, make you from Wittenberg?",you.—good faith,glad,see make
tragedy,hamlet,"HAMLET.
I would not hear your enemy say so;
Nor shall you do my ear that violence,
To make it truster of your own report
Against yourself. I know you are no truant.
But what is your affair in Elsinore?
We’ll teach you to drink deep ere you depart.",enemy ear violence report affair,trust own truant deep,hear say make know teach drink depart
tragedy,hamlet,"HAMLET.
Thrift, thrift, Horatio! The funeral bak’d meats
Did coldly furnish forth the marriage tables.
Would I had met my dearest foe in heaven
Or ever I had seen that day, Horatio.
My father,—methinks I see my father.","thrift meat marriage table foe day father,—methink father",funeral dear,furnish meet see see
tragedy,hamlet,"HORATIO.
I saw him once; he was a goodly king.",king,goodly,see
tragedy,hamlet,"HORATIO.
My lord, I think I saw him yesternight.",lord,yesternight,think see
tragedy,hamlet,"HORATIO.
Two nights together had these gentlemen,
Marcellus and Barnardo, on their watch
In the dead waste and middle of the night,
Been thus encounter’d. A figure like your father,
Armed at point exactly, cap-à-pie,
Appears before them, and with solemn march
Goes slow and stately by them: thrice he walk’d
By their oppress’d and fear-surprised eyes,
Within his truncheon’s length; whilst they, distill’d
Almost to jelly with the act of fear,
Stand dumb, and speak not to him. This to me
In dreadful secrecy impart they did,
And I with them the third night kept the watch,
Where, as they had deliver’d, both in time,
Form of the thing, each word made true and good,
The apparition comes. I knew your father;
These hands are not more like.",night gentleman watch waste middle night encounter’d figure father point cap à - pie walk’d oppress’d fear eye truncheon length jelly act fear secrecy impart night watch time form thing word apparition father hand,dead armed slow stately surprised dumb dreadful third true good like,appear go stand speak keep make come know
tragedy,hamlet,"HORATIO.
As I do live, my honour’d lord, ’tis true;
And we did think it writ down in our duty
To let you know of it.",tis duty,true,live think writ let know
tragedy,hamlet,"HORATIO.
While one with moderate haste might tell a hundred.",haste,moderate,tell
tragedy,hamlet,"HORATIO.
It was, as I have seen it in his life,
A sable silver’d.",life silver’d,sable,see
tragedy,hamlet,"HAMLET.
If it assume my noble father’s person,
I’ll speak to it, though hell itself should gape
And bid me hold my peace. I pray you all,
If you have hitherto conceal’d this sight,
Let it be tenable in your silence still;
And whatsoever else shall hap tonight,
Give it an understanding, but no tongue.
I will requite your loves. So, fare ye well.
Upon the platform ’twixt eleven and twelve,
I’ll visit you.",father person hell peace hitherto conceal’d sight silence hap tonight understanding tongue love platform,noble tenable,assume speak gape bid hold pray let give requite fare twixt visit
tragedy,hamlet,"My father’s spirit in arms! All is not well;
I doubt some foul play: would the night were come!
Till then sit still, my soul: foul deeds will rise,
Though all the earth o’erwhelm them, to men’s eyes.",father spirit arm play night soul deed earth man eye,well foul foul,doubt come sit rise o’erwhelm
tragedy,hamlet,"LAERTES.
My necessaries are embark’d. Farewell.
And, sister, as the winds give benefit
And convoy is assistant, do not sleep,
But let me hear from you.",laertes necessary sister wind benefit convoy,assistant,give sleep let hear
tragedy,hamlet,"LAERTES.
For Hamlet, and the trifling of his favour,
Hold it a fashion and a toy in blood;
A violet in the youth of primy nature,
Forward, not permanent, sweet, not lasting;
The perfume and suppliance of a minute;
No more.",laertes trifling favour fashion toy blood violet youth nature perfume suppliance minute,permanent sweet more,hold last
tragedy,hamlet,"LAERTES.
Think it no more.
For nature crescent does not grow alone
In thews and bulk; but as this temple waxes,
The inward service of the mind and soul
Grows wide withal. Perhaps he loves you now,
And now no soil nor cautel doth besmirch
The virtue of his will; but you must fear,
His greatness weigh’d, his will is not his own;
For he himself is subject to his birth:
He may not, as unvalu’d persons do,
Carve for himself; for on his choice depends
The sanctity and health of this whole state;
And therefore must his choice be circumscrib’d
Unto the voice and yielding of that body
Whereof he is the head. Then if he says he loves you,
It fits your wisdom so far to believe it
As he in his particular act and place
May give his saying deed; which is no further
Than the main voice of Denmark goes withal.
Then weigh what loss your honour may sustain
If with too credent ear you list his songs,
Or lose your heart, or your chaste treasure open
To his unmaster’d importunity.
Fear it, Ophelia, fear it, my dear sister;
And keep you in the rear of your affection,
Out of the shot and danger of desire.
The chariest maid is prodigal enough
If she unmask her beauty to the moon.
Virtue itself ’scapes not calumnious strokes:
The canker galls the infants of the spring
Too oft before their buttons be disclos’d,
And in the morn and liquid dew of youth
Contagious blastments are most imminent.
Be wary then, best safety lies in fear.
Youth to itself rebels, though none else near.",laertes nature crescent thew bulk temple service mind soul withal soil besmirch virtue will greatness will birth person choice sanctity health state choice circumscrib’d voice yielding body head wisdom act place saying deed voice honour ear song heart chaste treasure importunity sister rear affection shot danger desire maid beauty moon stroke canker infant spring button dew youth blastment safety fear rebel none,inward wide own subject unvalu’d whole particular main withal credent open dear chary prodigal calumnious morn liquid contagious imminent wary good,think grow wax grow love cautel fear depend say love fit believe give go weigh loss sustain list lose fear fear keep unmask scape gall lie
tragedy,hamlet,"OPHELIA.
I shall th’effect of this good lesson keep
As watchman to my heart. But good my brother,
Do not as some ungracious pastors do,
Show me the steep and thorny way to heaven;
Whilst like a puff’d and reckless libertine
Himself the primrose path of dalliance treads,
And recks not his own rede.",OPHELIA lesson watchman heart brother pastor way libertine path dalliance tread rede,good good ungracious steep thorny puff’d reckless primrose own,th’effect keep show whilst reck
tragedy,hamlet,"A double blessing is a double grace;
Occasion smiles upon a second leave.",blessing grace leave,double double second,smile
tragedy,hamlet,"POLONIUS.
Yet here, Laertes? Aboard, aboard, for shame.
The wind sits in the shoulder of your sail,
And you are stay’d for. There, my blessing with you.",shame wind shoulder sail blessing,stay’d,sit
tragedy,hamlet,"And these few precepts in thy memory
Look thou character. Give thy thoughts no tongue,
Nor any unproportion’d thought his act.
Be thou familiar, but by no means vulgar.
Those friends thou hast, and their adoption tried,
Grapple them unto thy soul with hoops of steel;
But do not dull thy palm with entertainment
Of each new-hatch’d, unfledg’d comrade. Beware
Of entrance to a quarrel; but being in,
Bear’t that th’opposed may beware of thee.
Give every man thine ear, but few thy voice:
Take each man’s censure, but reserve thy judgement.
Costly thy habit as thy purse can buy,
But not express’d in fancy; rich, not gaudy:
For the apparel oft proclaims the man;
And they in France of the best rank and station
Are of a most select and generous chief in that.
Neither a borrower nor a lender be:
For loan oft loses both itself and friend;
And borrowing dulls the edge of husbandry.
This above all: to thine own self be true;
And it must follow, as the night the day,
Thou canst not then be false to any man.
Farewell: my blessing season this in thee.",precept memory character thought tongue act mean friend adoption soul hoop steel palm entertainment unfledg’d comrade entrance quarrel man thine ear voice man censure habit purse express’d fancy apparel oft man rank station chief borrower lender loan oft friend dull edge husbandry self night day man blessing season thee,few thou unproportion’d familiar vulgar new few costly rich gaudy good select generous own true canst false,look give think try grapple dull beware th’oppose beware give take reserve buy proclaim lose borrow thine follow
tragedy,hamlet,"POLONIUS.
Marry, well bethought:
’Tis told me he hath very oft of late
Given private time to you; and you yourself
Have of your audience been most free and bounteous.
If it be so,—as so ’tis put on me,
And that in way of caution,—I must tell you
You do not understand yourself so clearly
As it behoves my daughter and your honour.
What is between you? Give me up the truth.",time audience tis way daughter honour truth,"late private free bounteous so,—as",bethought tell hath give be put tell understand behove give
tragedy,hamlet,"OPHELIA.
He hath, my lord, of late made many tenders
Of his affection to me.",OPHELIA tender affection,late many,hath make
tragedy,hamlet,"POLONIUS.
Affection! Pooh! You speak like a green girl,
Unsifted in such perilous circumstance.
Do you believe his tenders, as you call them?",girl circumstance tender,green such perilous,speak believe call
tragedy,hamlet,"POLONIUS.
Marry, I’ll teach you; think yourself a baby;
That you have ta’en these tenders for true pay,
Which are not sterling. Tender yourself more dearly;
Or,—not to crack the wind of the poor phrase,
Running it thus,—you’ll tender me a fool.","baby tender pay or,—not wind phrase fool",true sterling poor,teach think tender crack run tender
tragedy,hamlet,"OPHELIA.
My lord, he hath importun’d me with love
In honourable fashion.",OPHELIA lord love fashion,honourable,hath
tragedy,hamlet,"OPHELIA.
And hath given countenance to his speech, my lord,
With almost all the holy vows of heaven.",OPHELIA hath countenance speech vow,holy,give
tragedy,hamlet,"POLONIUS.
Ay, springes to catch woodcocks. I do know,
When the blood burns, how prodigal the soul
Lends the tongue vows: these blazes, daughter,
Giving more light than heat, extinct in both,
Even in their promise, as it is a-making,
You must not take for fire. From this time
Be something scanter of your maiden presence;
Set your entreatments at a higher rate
Than a command to parley. For Lord Hamlet,
Believe so much in him that he is young;
And with a larger tether may he walk
Than may be given you. In few, Ophelia,
Do not believe his vows; for they are brokers,
Not of that dye which their investments show,
But mere implorators of unholy suits,
Breathing like sanctified and pious bawds,
The better to beguile. This is for all:
I would not, in plain terms, from this time forth
Have you so slander any moment leisure
As to give words or talk with the Lord Hamlet.
Look to’t, I charge you; come your ways.",woodcock blood soul lend tongue blaze daughter light heat promise making fire time presence entreatment rate command tether vow broker dye investment implorator suit breathing bawd term time moment leisure word to’t way,prodigal more extinct scanter maiden high young large few mere unholy sanctified pious well plain,spring catch know burn vow give take set parley believe walk give believe show beguile slander give talk look charge come
tragedy,hamlet,"HAMLET.
The King doth wake tonight and takes his rouse,
Keeps wassail, and the swaggering upspring reels;
And as he drains his draughts of Rhenish down,
The kettle-drum and trumpet thus bray out
The triumph of his pledge.",doth tonight rouse wassail reel draught kettle drum trumpet triumph pledge,swaggering rhenish,wake take upspre drain bray
tragedy,hamlet,"HAMLET.
Ay marry is’t;
And to my mind, though I am native here,
And to the manner born, it is a custom
More honour’d in the breach than the observance.
This heavy-headed revel east and west
Makes us traduc’d and tax’d of other nations:
They clepe us drunkards, and with swinish phrase
Soil our addition; and indeed it takes
From our achievements, though perform’d at height,
The pith and marrow of our attribute.
So oft it chances in particular men
That for some vicious mole of nature in them,
As in their birth, wherein they are not guilty,
Since nature cannot choose his origin,
By their o’ergrowth of some complexion,
Oft breaking down the pales and forts of reason;
Or by some habit, that too much o’erleavens
The form of plausive manners;—that these men,
Carrying, I say, the stamp of one defect,
Being Nature’s livery or Fortune’s star,—
His virtues else,—be they as pure as grace,
As infinite as man may undergo,
Shall in the general censure take corruption
From that particular fault. The dram of evil
Doth all the noble substance of a doubt
To his own scandal.",marry mind manner custom honour’d breach observance revel east traduc’d nation drunkard phrase addition achievement height pith marrow attribute man mole nature birth nature origin o’ergrowth complexion pale fort reason habit o’erleaven form plausive man carrying stamp defect livery star virtue grace man censure corruption fault dram substance doubt scandal,native More heavy other swinish particular vicious guilty much pure infinite general particular evil noble own,"bear head make clepe take oft chance choose break say else,—be undergo take"
tragedy,hamlet,"HAMLET.
Angels and ministers of grace defend us!
Be thou a spirit of health or goblin damn’d,
Bring with thee airs from heaven or blasts from hell,
Be thy intents wicked or charitable,
Thou com’st in such a questionable shape
That I will speak to thee. I’ll call thee Hamlet,
King, father, royal Dane. O, answer me!
Let me not burst in ignorance; but tell
Why thy canoniz’d bones, hearsed in death,
Have burst their cerements; why the sepulchre,
Wherein we saw thee quietly inurn’d,
Hath op’d his ponderous and marble jaws
To cast thee up again! What may this mean,
That thou, dead corse, again in complete steel,
Revisit’st thus the glimpses of the moon,
Making night hideous, and we fools of nature
So horridly to shake our disposition
With thoughts beyond the reaches of our souls?
Say, why is this? Wherefore? What should we do?",angel minister grace spirit health damn’d air blast intent shape father ignorance bone death cerement marble jaw corse steel glimpse moon night fool nature disposition thought reach soul,goblin wicked charitable questionable royal canoniz’d inurn’d ponderous thou dead complete hideous,defend bring speak call answer let burst tell hearse burst see op’d cast mean make shake
tragedy,hamlet,"MARCELLUS.
Look with what courteous action
It waves you to a more removed ground.
But do not go with it.",action ground,courteous removed,look wave go
tragedy,hamlet,"HAMLET.
Why, what should be the fear?
I do not set my life at a pin’s fee;
And for my soul, what can it do to that,
Being a thing immortal as itself?
It waves me forth again. I’ll follow it.",fear life pin fee soul thing,immortal,set wave follow
tragedy,hamlet,"HORATIO.
What if it tempt you toward the flood, my lord,
Or to the dreadful summit of the cliff
That beetles o’er his base into the sea,
And there assume some other horrible form
Which might deprive your sovereignty of reason,
And draw you into madness? Think of it.
The very place puts toys of desperation,
Without more motive, into every brain
That looks so many fathoms to the sea
And hears it roar beneath.",flood summit cliff beetle base sea form sovereignty reason madness place toy desperation motive brain fathom sea roar,dreadful other horrible very more many,tempt o’er assume deprive draw think put look hear
tragedy,hamlet,"HAMLET.
My fate cries out,
And makes each petty artery in this body
As hardy as the Nemean lion’s nerve.",fate artery body lion nerve,petty hardy,cry make
tragedy,hamlet,"HORATIO.
He waxes desperate with imagination.",imagination,desperate,wax
tragedy,hamlet,"GHOST.
My hour is almost come,
When I to sulph’rous and tormenting flames
Must render up myself.",hour flame,sulph’rous tormenting,come render
tragedy,hamlet,"GHOST.
Pity me not, but lend thy serious hearing
To what I shall unfold.",hearing,serious,pity lend unfold
